type,bandwidth,time
warmup,56.3293,9063376191261601
warmup,164.286,9063376236075583
warmup,154.419,9063376251477231
warmup,159.02,9063376267897386
warmup,164.587,9063376283814367
warmup,149.032,9063376299193742
warmup,163.26,9063376316346674
warmup,163.071,9063376332035301
warmup,141.822,9063376347740439
warmup,153.425,9063376365573379
warmup,159.287,9063376382145215
warmup,161.392,9063376398036308
warmup,161.118,9063376413888681
warmup,161.382,9063376429757598
warmup,164.012,9063376445601362
warmup,163.689,9063376461208260
warmup,163.508,9063376476840918
warmup,162.013,9063376492479048
warmup,162.23,9063376508257052
warmup,164.523,9063376523987791
warmup,162.015,9063376539524704
warmup,162.55,9063376555300948
warmup,163.337,9063376571021543
warmup,162.725,9063376586662201
warmup,162.403,9063376602351596
warmup,160.271,9063376618068767
warmup,160.951,9063376633991764
warmup,163.575,9063376649848105
warmup,163.707,9063376665457851
warmup,162.179,9063376681054221
warmup,164.581,9063376696812416
warmup,164.42,9063376712348049
14:32:27:159:610    &   121.95
14:32:27:180:607    &   120.414
14:32:27:202:150    &   117.259
14:32:27:223:566    &   117.931
14:32:27:244:518    &   120.508
14:32:27:266:264    &   116.232
14:32:27:286:160    &   126.956
14:32:27:306:478    &   124.468
14:32:27:327:930    &   118.375
14:32:27:350:186    &   114.052
14:32:27:372:153    &   115.039
14:32:27:394:040    &   115.665
14:32:27:415:817    &   116.011
14:32:27:437:334    &   117.414
14:32:27:458:082    &   122.267
14:32:27:480:367    &   113.776
14:32:27:501:797    &   118.424
14:32:27:523:690    &   115.535
14:32:27:546:293    &   112.231
14:32:27:565:164    &   134.91
14:32:27:586:910    &   116.712
14:32:27:608:855    &   115.086
14:32:27:631:161    &   113.243
14:32:27:652:013    &   121.172
14:32:27:672:967    &   120.619
14:32:27:694:438    &   117.673
14:32:27:715:394    &   120.543
14:32:27:736:443    &   120.028
14:32:27:757:007    &   122.88
14:32:27:777:780    &   121.651
14:32:27:798:341    &   122.901
14:32:27:819:277    &   120.683
14:32:27:840:279    &   120.288
14:32:27:861:208    &   121.266
14:32:27:882:164    &   120.565
14:32:27:903:192    &   120.162
14:32:27:923:747    &   122.9
14:32:27:944:647    &   120.846
14:32:27:966:143    &   117.507
14:32:27:987:201    &   120.025
14:32:28:008:770    &   117.15
14:32:28:030:421    &   116.718
14:32:28:051:272    &   122.316
14:32:28:071:020    &   128.159
14:32:28:088:158    &   148.448
14:32:28:109:157    &   121.12
14:32:28:130:327    &   119.985
14:32:28:151:370    &   120.992
14:32:28:172:407    &   120.13
14:32:28:193:338    &   120.721
14:32:28:215:291    &   115.758
14:32:28:236:775    &   117.591
14:32:28:258:213    &   117.908
14:32:28:279:746    &   117.337
14:32:28:300:405    &   122.33
14:32:28:321:834    &   118.45
14:32:28:343:266    &   118.584
14:32:28:363:935    &   122.902
14:32:28:385:585    &   117.2
14:32:28:406:875    &   119.275
14:32:28:427:831    &   121.168
14:32:28:449:362    &   117.978
14:32:28:470:503    &   119.562
14:32:28:492:351    &   115.624
14:32:28:513:529    &   119.317
14:32:28:535:286    &   116.14
14:32:28:556:701    &   118.476
14:32:28:578:641    &   115.195
14:32:28:600:693    &   114.605
14:32:28:623:209    &   112.242
14:32:28:644:855    &   116.685
14:32:28:665:598    &   121.885
14:32:28:687:106    &   117.491
14:32:28:708:950    &   115.667
14:32:28:730:248    &   118.656
14:32:28:751:799    &   117.187
14:32:28:774:261    &   112.422
14:32:28:796:066    &   115.834
14:32:28:816:808    &   121.767
14:32:28:839:192    &   112.794
14:32:28:861:172    &   114.87
14:32:28:882:935    &   116.026
14:32:28:902:607    &   128.413
14:32:28:922:793    &   125.224
14:32:28:942:433    &   128.632
14:32:28:964:488    &   114.484
14:32:28:985:805    &   118.458
14:32:29:008:379    &   111.823
14:32:29:030:037    &   116.585
14:32:29:052:425    &   112.781
14:32:29:073:966    &   117.199
14:32:29:094:723    &   121.773
14:32:29:116:970    &   113.518
14:32:29:138:587    &   116.811
14:32:29:160:131    &   117.216
14:32:29:182:178    &   114.503
14:32:29:203:810    &   116.717
14:32:29:225:479    &   116.531
14:32:29:247:132    &   116.643
14:32:29:269:016    &   115.553
14:32:29:290:366    &   118.357
14:32:29:312:011    &   116.748
14:32:29:333:827    &   115.818
14:32:29:354:574    &   121.805
14:32:29:373:658    &   132.369
14:32:29:394:655    &   120.29
14:32:29:416:403    &   116.14
14:32:29:438:500    &   114.25
14:32:29:459:680    &   119.234
14:32:29:481:119    &   117.768
14:32:29:502:563    &   117.748
14:32:29:524:126    &   117.065
14:32:29:545:751    &   116.776
14:32:29:567:940    &   113.809
14:32:29:589:518    &   117.009
14:32:29:611:370    &   115.57
14:32:29:632:255    &   120.919
14:32:29:654:258    &   114.771
14:32:29:675:955    &   116.35
14:32:29:697:744    &   115.871
14:32:29:718:564    &   121.296
14:32:29:740:254    &   116.435
14:32:29:762:116    &   115.498
14:32:29:783:003    &   120.87
14:32:29:804:512    &   117.386
14:32:29:825:955    &   117.75
14:32:29:848:345    &   116.107
14:32:29:869:209    &   121.109
14:32:29:890:726    &   117.367
14:32:29:910:261    &   129.337
14:32:29:931:763    &   117.507
14:32:29:952:960    &   119.152
14:32:29:974:167    &   119.072
14:32:29:996:016    &   115.567
14:32:30:016:842    &   121.266
14:32:30:037:026    &   125.078
14:32:30:058:557    &   117.268
14:32:30:080:236    &   116.448
14:32:30:101:601    &   118.156
14:32:30:123:543    &   115.03
14:32:30:144:848    &   118.497
14:32:30:166:721    &   115.404
14:32:30:188:216    &   117.488
14:32:30:210:109    &   115.294
14:32:30:231:002    &   120.833
14:32:30:252:161    &   119.318
14:32:30:273:591    &   117.929
14:32:30:295:418    &   115.648
14:32:30:316:404    &   120.307
14:32:30:337:593    &   119.204
14:32:30:358:945    &   119.023
14:32:30:380:150    &   119.909
14:32:30:401:703    &   117.941
14:32:30:423:553    &   116.166
14:32:30:444:667    &   120.416
14:32:30:465:451    &   122.649
14:32:30:487:221    &   116.871
14:32:30:505:340    &   139.549
14:32:30:525:983    &   122.568
14:32:30:547:714    &   117.011
14:32:30:570:343    &   112.274
14:32:30:588:327    &   140.617
14:32:30:609:637    &   118.676
14:32:30:631:383    &   116.232
14:32:30:652:891    &   117.848
14:32:30:674:605    &   116.382
14:32:30:696:569    &   115.013
14:32:30:718:564    &   114.817
14:32:30:739:380    &   121.317
14:32:30:760:792    &   117.899
14:32:30:782:628    &   115.733
14:32:30:804:196    &   117.095
14:32:30:826:142    &   115.076
14:32:30:847:623    &   117.549
14:32:30:868:138    &   123.09
14:32:30:888:080    &   126.655
14:32:30:907:497    &   130.146
14:32:30:928:592    &   119.735
14:32:30:949:325    &   121.912
